Order Number,Line Number,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Unit Price,Net Price,Unit Cost,Currency Code,Exchange Rate
328800,0,2019-01-01 00:00:00,2019-01-01 00:00:00,803022,330,1785,3,43.00,39.99,21.92,EUR,0.8734
328800,1,2019-01-01 00:00:00,2019-01-01 00:00:00,803022,330,1494,6,208.00,183.04,95.65,EUR,0.8734
328801,0,2019-01-01 00:00:00,2019-01-04 00:00:00,1647704,999999,2072,1,94.99,87.39,48.43,USD,1.0000
328802,0,2019-01-01 00:00:00,2019-01-05 00:00:00,985334,999999,1533,2,299.00,281.06,137.50,GBP,0.7812
328803,0,2019-01-01 00:00:00,2019-01-02 00:00:00,874760,999999,1533,1,299.00,290.03,137.50,EUR,0.8734
328804,0,2019-01-01 00:00:00,2019-01-03 00:00:00,1693705,999999,433,1,969.00,872.10,321.05,USD,1.0000
328804,1,2019-01-01 00:00:00,2019-01-03 00:00:00,1693705,999999,2233,3,229.99,204.69,105.76,USD,1.0000
328804,2,2019-01-01 00:00:00,2019-01-03 00:00:00,1693705,999999,341,5,967.00,860.63,444.69,USD,1.0000
328805,0,2019-01-01 00:00:00,2019-01-01 00:00:00,28538,40,1533,4,299.00,266.11,137.50,AUD,1.4166
328805,1,2019-01-01 00:00:00,2019-01-01 00:00:00,28538,40,942,1,41.99,41.57,21.41,AUD,1.4166
328805,2,2019-01-01 00:00:00,2019-01-01 00:00:00,28538,40,119,2,119.99,119.99,61.17,AUD,1.4166
328805,3,2019-01-01 00:00:00,2019-01-01 00:00:00,28538,40,1966,5,299.99,257.99,152.94,AUD,1.4166
328806,0,2019-01-01 00:00:00,2019-01-03 00:00:00,1679618,999999,470,7,129.00,129.00,65.77,USD,1.0000
328806,1,2019-01-01 00:00:00,2019-01-03 00:00:00,1679618,999999,1513,4,269.00,239.41,123.70,USD,1.0000
328806,2,2019-01-01 00:00:00,2019-01-03 00:00:00,1679618,999999,1637,6,17.99,17.99,8.27,USD,1.0000
328807,0,2019-01-01 00:00:00,2019-01-05 00:00:00,566514,999999,2042,1,94.99,94.99,48.43,EUR,0.8734
