Order Number,Line Number,Order Date,Delivery Date,CustomerKey,StoreKey,ProductKey,Quantity,Unit Price,Net Price,Unit Cost,Currency Code,Exchange Rate
292301,0,2018-01-01 00:00:00,2018-01-01 00:00:00,1423668,530,1595,10,29.76,29.76,9.85,USD,1.0000
292301,1,2018-01-01 00:00:00,2018-01-01 00:00:00,1423668,530,1688,6,7.99,7.67,3.67,USD,1.0000
292302,0,2018-01-01 00:00:00,2018-01-04 00:00:00,678055,999999,1430,1,418.60,418.60,192.50,EUR,0.8338
292302,1,2018-01-01 00:00:00,2018-01-04 00:00:00,678055,999999,1530,1,372.40,372.40,171.25,EUR,0.8338
292302,2,2018-01-01 00:00:00,2018-01-04 00:00:00,678055,999999,1391,4,55.99,50.95,25.75,EUR,0.8338
292302,3,2018-01-01 00:00:00,2018-01-04 00:00:00,678055,999999,1356,1,50.39,50.39,23.17,EUR,0.8338
292302,4,2018-01-01 00:00:00,2018-01-04 00:00:00,678055,999999,1413,7,418.60,368.37,192.50,EUR,0.8338
292303,0,2018-01-01 00:00:00,2018-01-01 00:00:00,1945825,510,531,2,1018.50,1018.50,337.46,USD,1.0000
292303,1,2018-01-01 00:00:00,2018-01-01 00:00:00,1945825,510,445,2,838.50,804.96,385.59,USD,1.0000
292303,2,2018-01-01 00:00:00,2018-01-01 00:00:00,1945825,510,1671,4,4.49,4.00,2.29,USD,1.0000
292303,3,2018-01-01 00:00:00,2018-01-01 00:00:00,1945825,510,1632,2,23.39,21.75,10.75,USD,1.0000
292303,4,2018-01-01 00:00:00,2018-01-01 00:00:00,1945825,510,4,1,19.41,19.41,9.90,USD,1.0000
292303,6,2018-01-01 00:00:00,2018-01-01 00:00:00,1945825,510,2029,3,89.99,89.99,45.88,USD,1.0000
292304,0,2018-01-01 00:00:00,2018-01-01 00:00:00,1941870,530,1545,4,375.20,375.20,172.54,USD,1.0000
292304,1,2018-01-01 00:00:00,2018-01-01 00:00:00,1941870,530,2359,1,269.99,269.99,137.65,USD,1.0000
292305,0,2018-01-01 00:00:00,2018-01-03 00:00:00,1212404,999999,1401,4,56.27,56.27,25.87,USD,1.0000
292305,1,2018-01-01 00:00:00,2018-01-03 00:00:00,1212404,999999,1592,10,23.39,20.81,10.75,USD,1.0000
292306,0,2018-01-01 00:00:00,2018-01-05 00:00:00,155336,999999,1703,1,4.85,4.85,2.48,AUD,1.2796
292307,0,2018-01-01 00:00:00,2018-01-01 00:00:00,547989,230,1377,1,22.40,22.40,11.42,EUR,0.8338
292307,1,2018-01-01 00:00:00,2018-01-01 00:00:00,547989,230,524,3,268.50,268.50,123.48,EUR,0.8338
292307,2,2018-01-01 00:00:00,2018-01-01 00:00:00,547989,230,428,2,1453.50,1293.62,481.58,EUR,0.8338
292308,0,2018-01-01 00:00:00,2018-01-01 00:00:00,1380707,610,1476,5,403.20,346.75,185.42,USD,1.0000
292309,0,2018-01-01 00:00:00,2018-01-01 00:00:00,897390,330,83,1,89.99,83.69,41.38,EUR,0.8338
292310,0,2018-01-01 00:00:00,2018-01-02 00:00:00,278518,999999,1289,1,85.79,85.79,43.74,CAD,1.2540
292310,1,2018-01-01 00:00:00,2018-01-02 00:00:00,278518,999999,1579,6,284.70,259.08,94.33,CAD,1.2540
292310,2,2018-01-01 00:00:00,2018-01-02 00:00:00,278518,999999,340,2,1228.50,1228.50,564.95,CAD,1.2540
292310,3,2018-01-01 00:00:00,2018-01-02 00:00:00,278518,999999,158,6,1044.99,1044.99,480.56,CAD,1.2540
292310,4,2018-01-01 00:00:00,2018-01-02 00:00:00,278518,999999,2498,4,33.21,29.22,16.93,CAD,1.2540
292310,5,2018-01-01 00:00:00,2018-01-02 00:00:00,278518,999999,2504,4,13.99,12.31,7.13,CAD,1.2540
292400,0,2018-01-02 00:00:00,2018-01-02 00:00:00,1238971,450,456,6,838.50,763.04,385.59,USD,1.0000
292400,1,2018-01-02 00:00:00,2018-01-02 00:00:00,1238971,450,1689,2,4.48,4.48,2.29,USD,1.0000
292400,2,2018-01-02 00:00:00,2018-01-02 00:00:00,1238971,450,2061,4,599.35,599.35,198.58,USD,1.0000
292400,3,2018-01-02 00:00:00,2018-01-02 00:00:00,1238971,450,2360,3,179.99,167.39,91.76,USD,1.0000
292400,4,2018-01-02 00:00:00,2018-01-02 00:00:00,1238971,450,1443,3,824.60,733.89,273.21,USD,1.0000
292400,5,2018-01-02 00:00:00,2018-01-02 00:00:00,1238971,450,1687,3,6.19,5.94,2.84,USD,1.0000
292401,0,2018-01-02 00:00:00,2018-01-07 00:00:00,608410,999999,141,4,284.99,247.94,145.29,EUR,0.8288
292401,1,2018-01-02 00:00:00,2018-01-07 00:00:00,608410,999999,760,4,20.85,18.56,10.64,EUR,0.8288
292402,0,2018-01-02 00:00:00,2018-01-03 00:00:00,1226295,999999,1413,1,418.60,418.60,192.50,USD,1.0000
292403,0,2018-01-02 00:00:00,2018-01-02 00:00:00,321877,100,1559,1,418.60,389.30,192.50,CAD,1.2539
292404,0,2018-01-02 00:00:00,2018-01-07 00:00:00,380493,999999,1544,10,333.20,293.22,153.23,CAD,1.2539
292404,1,2018-01-02 00:00:00,2018-01-07 00:00:00,380493,999999,1811,2,28.80,26.21,14.68,CAD,1.2539
292404,2,2018-01-02 00:00:00,2018-01-07 00:00:00,380493,999999,795,1,20.85,20.85,10.64,CAD,1.2539
292404,3,2018-01-02 00:00:00,2018-01-07 00:00:00,380493,999999,1578,1,284.70,284.70,94.33,CAD,1.2539
292404,4,2018-01-02 00:00:00,2018-01-07 00:00:00,380493,999999,1789,1,38.70,34.06,19.73,CAD,1.2539
292404,5,2018-01-02 00:00:00,2018-01-07 00:00:00,380493,999999,1678,2,15.20,15.20,5.04,CAD,1.2539
292404,6,2018-01-02 00:00:00,2018-01-07 00:00:00,380493,999999,1225,2,1100.00,946.00,364.45,CAD,1.2539
292405,0,2018-01-02 00:00:00,2018-01-07 00:00:00,359571,999999,1449,1,420.00,420.00,193.14,CAD,1.2539
292406,0,2018-01-02 00:00:00,2018-01-04 00:00:00,1519738,999999,430,3,404.93,376.58,206.45,USD,1.0000
292406,1,2018-01-02 00:00:00,2018-01-04 00:00:00,1519738,999999,1790,1,38.70,33.67,19.73,USD,1.0000
292407,0,2018-01-02 00:00:00,2018-01-02 00:00:00,1347323,450,496,1,268.50,230.91,123.48,USD,1.0000
292408,0,2018-01-02 00:00:00,2018-01-05 00:00:00,2089223,999999,1573,1,76.69,69.79,35.27,USD,1.0000
292409,0,2018-01-02 00:00:00,2018-01-02 00:00:00,1276790,500,1579,7,284.70,281.85,94.33,USD,1.0000
292409,1,2018-01-02 00:00:00,2018-01-02 00:00:00,1276790,500,1473,2,376.60,376.60,173.18,USD,1.0000
292409,2,2018-01-02 00:00:00,2018-01-02 00:00:00,1276790,500,141,6,284.99,259.34,145.29,USD,1.0000
292409,3,2018-01-02 00:00:00,2018-01-02 00:00:00,1276790,500,1635,5,29.76,29.76,9.85,USD,1.0000
292409,4,2018-01-02 00:00:00,2018-01-02 00:00:00,1276790,500,2505,3,13.99,13.99,7.13,USD,1.0000
292409,5,2018-01-02 00:00:00,2018-01-02 00:00:00,1276790,500,2111,2,789.75,726.57,363.18,USD,1.0000
292409,6,2018-01-02 00:00:00,2018-01-02 00:00:00,1276790,500,2494,2,4.12,3.70,2.10,USD,1.0000
292410,0,2018-01-02 00:00:00,2018-01-02 00:00:00,1480286,450,1236,3,206.80,186.12,105.44,USD,1.0000
292410,1,2018-01-02 00:00:00,2018-01-02 00:00:00,1480286,450,1660,3,376.99,339.29,124.90,USD,1.0000
292411,0,2018-01-02 00:00:00,2018-01-02 00:00:00,1745820,450,1601,2,207.99,183.03,95.64,USD,1.0000
292411,1,2018-01-02 00:00:00,2018-01-02 00:00:00,1745820,450,2501,9,33.21,29.22,16.93,USD,1.0000
292411,2,2018-01-02 00:00:00,2018-01-02 00:00:00,1745820,450,49,8,179.96,179.96,82.76,USD,1.0000
292411,3,2018-01-02 00:00:00,2018-01-02 00:00:00,1745820,450,1631,1,16.46,16.46,7.57,USD,1.0000
292411,4,2018-01-02 00:00:00,2018-01-02 00:00:00,1745820,450,2503,3,13.99,13.99,7.13,USD,1.0000
292411,5,2018-01-02 00:00:00,2018-01-02 00:00:00,1745820,450,1558,1,532.00,526.68,176.26,USD,1.0000
292412,0,2018-01-02 00:00:00,2018-01-02 00:00:00,400031,200,1454,7,278.60,250.74,128.11,EUR,0.8288
292412,1,2018-01-02 00:00:00,2018-01-02 00:00:00,400031,200,1805,2,28.80,28.80,14.68,EUR,0.8288
292412,2,2018-01-02 00:00:00,2018-01-02 00:00:00,400031,200,1521,1,434.00,399.28,199.58,EUR,0.8288
292412,3,2018-01-02 00:00:00,2018-01-02 00:00:00,400031,200,1678,1,15.20,13.98,5.04,EUR,0.8288
292412,4,2018-01-02 00:00:00,2018-01-02 00:00:00,400031,200,666,8,244.50,212.72,112.44,EUR,0.8288
292412,5,2018-01-02 00:00:00,2018-01-02 00:00:00,400031,200,2102,4,711.90,626.47,327.38,EUR,0.8288
292412,6,2018-01-02 00:00:00,2018-01-02 00:00:00,400031,200,634,1,3748.50,3411.14,1241.96,EUR,0.8288
292413,0,2018-01-02 00:00:00,2018-01-04 00:00:00,2028142,999999,1830,1,1439.10,1439.10,733.70,USD,1.0000
292413,1,2018-01-02 00:00:00,2018-01-04 00:00:00,2028142,999999,2508,1,6.64,5.97,3.39,USD,1.0000
292413,2,2018-01-02 00:00:00,2018-01-04 00:00:00,2028142,999999,451,1,838.50,838.50,385.59,USD,1.0000
292500,0,2018-01-03 00:00:00,2018-01-03 00:00:00,1276047,440,147,2,2754.99,2479.49,912.78,USD,1.0000
292500,1,2018-01-03 00:00:00,2018-01-03 00:00:00,1276047,440,188,4,111.06,111.06,51.07,USD,1.0000
292500,2,2018-01-03 00:00:00,2018-01-03 00:00:00,1276047,440,1591,7,16.46,14.65,7.57,USD,1.0000
292501,0,2018-01-03 00:00:00,2018-01-03 00:00:00,1742525,570,1607,3,233.99,226.97,107.60,USD,1.0000
292501,1,2018-01-03 00:00:00,2018-01-03 00:00:00,1742525,570,1989,1,599.35,599.35,198.58,USD,1.0000
